trackNum,lifetime,max_intensity,background,totaldisp,max_msd,catIdx,aux,avg_rise,avg_dec,risevsdec,avg_mom_rise,avg_mom_dec,risevsdec_mom
1-213,2,367.73191220688335,1249.5694674234771,1.1074652458132062,1.2264792706841052,1,0,143.93016250694458,-178.26034990229806,1.2,193.96652048714125,-341.2190436502918,1.5
1-214,47,4807.939537697404,1921.201936239022,5.277226725679943,3.1413101570009783,1,1,402.7157172995554,-445.87985106091776,1.0740740740740742,752.4347428840628,-637.5437860046915,0.8333333333333334
1-217,10,1299.2066117002619,1278.0605207796918,1.983146357625789,3.932869475764434,1,0,226.970947565095,-166.32659106284572,0.7272727272727273,208.90176052582618,-311.03636409188863,1.5714285714285714
1-218,44,2714.215964599332,1748.2866511161333,0.21740009642684774,1.0475714627607489,1,1,259.0192740994674,-343.3997071269861,1.4090909090909092,429.44428987364745,-536.7969380611071,1.1666666666666667
1-219,9,780.3878517074181,1447.6072396771551,4.212918895571849,17.91270017912689,1,0,175.24524297559398,-261.17550805029254,1.5714285714285714,340.11414442341976,-364.28133366229883,1.125
1-220,6,1468.025117521212,1495.8574987401582,3.605649207317477,13.816222662351807,1,0,373.2635410043179,-481.0700853911529,1.1428571428571428,898.5397218925282,-625.219604959208,0.75
1-221,2,642.5617735315448,1225.454407518357,1.9932508825843542,3.9730490809233068,1,0,273.59309137329046,-223.98130309422461,0.8333333333333334,463.76379022509263,-425.0012893985284,1.0
1-222,91,2066.7618976601616,1334.9108359464362,4.254328006098981,1.7209486056540486,1,0,215.96190191749986,-234.72917867456775,1.0833333333333333,350.93221203217985,-385.9881512597197,1.1063829787234043
1-223,5,741.9659720106814,1587.5453158210526,1.9657148363396737,3.8640348178059103,1,0,202.04994481374683,-321.0183921516156,1.3333333333333333,542.5566264114833,-413.4220532200846,0.8571428571428571
1-226,3,1284.1281061002508,1421.5140250864501,0.3035928357345116,2.549061049144952,1,0,253.06688111081397,-524.7215334020595,2.0,666.4351330133746,-719.215461176735,1.2
1-230,38,2476.72225149534,1401.885905355327,2.1203814502734466,1.4586232144618199,1,0,282.82435355781644,-414.4416101457724,1.35,511.88076271059833,-698.8597363608418,1.4210526315789473
1-231,2,714.2250511945402,1358.455038612444,1.6869898345692735,2.845934701940065,1,0,209.64483900301516,-353.878344262372,1.75,499.20301747541555,-367.8640086858386,0.6666666666666666
1-232,12,1325.7464059410113,1322.736730015246,2.6313562242897395,9.63199130642823,1,0,268.1207598150891,-283.96601048395735,0.9090909090909091,532.8017216118254,-486.70073609960053,1.0
1-233,12,680.1520674680911,1162.707022926822,5.314593007434989,15.066470883444802,1,0,199.73124132778906,-110.53464562672104,0.5,194.85495297467213,-203.81266577086038,1.0
1-234,2,1187.4659119776236,1618.6128537714055,2.8458091603490434,8.098629777126527,1,0,320.093294561531,-484.55172803634787,1.75,654.3897580500591,-504.47337715628174,1.0
1-236,7,1560.136112086787,1425.4425206286107,0.4994599244864063,1.9403006698493563,1,0,383.42688884450297,-287.66774508437385,0.7777777777777778,528.7908994994493,-499.6747548636983,0.875
1-237,5,684.3876767650415,1271.4567444063198,1.1746745864970187,5.880019187514506,1,0,207.6049599067752,-336.1499214360676,1.3333333333333333,380.52491439282323,-560.741126388125,1.1666666666666667
